50,100,150,200,250,300,350,400,450,500
2829.317961,5823.064234,8009.919365,9559.838381,10691.09495,11545.92282,12211.98976,12744.49507,13179.42928,13541.09069
8455.863799,11488.66336,12959.25243,13817.48835,14378.12009,14772.58204,15065.04861,15290.48162,15469.52632,15615.14949
2929.317961,5923.064234,8109.919365,9659.838381,10791.09495,11645.92282,12311.98976,12844.49507,13279.42928,13641.09069
4126.989286,7759.892881,9954.164283,11353.63522,12312.31129,13007.0776,13532.69346,13943.81183,14273.98029,14544.86946
3759.7264,7362.512806,9716.695349,11197.63489,12202.11824,12924.97492,13469.01491,13892.86467,14232.20125,14509.91606
,,,,,,,,,
,,,,,,,,,
,0.493146935,,,,,,,,
,0.016883153,,,,,,,,
,0.249594766,,,,,,,,
,0.209092821,,,,,,,,
